Food,Protein (g/g),Fat (g/g),Carbohydrates (g/g),Fiber (g/g),Vitamin A (μg/g),Vitamin E (mg/g),Vitamin K (μg/g),Vitamin C (mg/g),Thiamin (B1) (mg/g),Riboflavin (B2) (mg/g),Niacin (B3) (mg/g),Pantothenic Acid (B5) (mg/g),Vitamin B6 (mg/g),Biotin (B7) (μg/g),Folate (B9) (μg/g),Vitamin B12 (μg/g),Calcium (mg/g),Phosphorus (mg/g),Magnesium (mg/g),Potassium (mg/g),Sodium (mg/g),Chloride (mg/g),Iron (mg/g),Zinc (mg/g),Iodine (μg/g),Selenium (μg/g),Copper (μg/g),Manganese (mg/g),Chromium (μg/g),Molybdenum (μg/g),Omega-3 Fatty Acids (g/g),Omega-6 Fatty Acids (g/g),Cost Per Gram,Calories per gram
Greek Yogurt,0.1000000000,0.0190000000,0.0411764706,0.0000000000,0.0001000000,0.0003500000,0.0000000000,0.0000000000,0.0000000000,0.0017500000,0.0000000000,0.0009500000,0.0000000000,0.0000000000,0.0000000000,0.0076470588,1.2352941176,0.0022000000,0.0005000000,1.4117647059,0.0005000000,0.0000000000,0.0000000000,0.0060000000,0.5120000000,0.0022500000,0.1764705882,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0041014333,0.5882352941
Pumkin Seeds,0.2857142857,0.5000000000,0.1428571429,0.0714285714,0.0000000000,0.1366000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11.8571428571,5.5714285714,0.0400000000,0.0000000000,3.9333333333,0.0952000000,0.1030000000,0.0000000000,0.0000000000,13.9285714286,0.0464000000,0.0733333333,0.0000000000,0.0007857143,0.2142857143,0.0127160000,5.8214285714
Peanuts,0.2857142857,0.5357142857,0.1785714286,0.0714285714,0.0000000000,0.0493000000,0.0000000000,0.0000000000,0.0009300000,0.0002000000,0.0176000000,0.0025800000,0.0005100000,0.1785714286,0.0035000000,0.0000000000,0.0013400000,3.9700000000,1.7600000000,7.2600000000,5.3928571429,5.0000000000,0.0006700000,0.0109729730,0.0000000000,0.0010500000,0.0110000000,0.0200000000,0.0000000000,0.0000000000,0.0003000000,0.1556000000,0.0043560000,6.0357142857
Milk,0.0329109758,0.0329109758,0.0452525917,0.0000000000,0.0001000000,0.0006000000,0.0000000000,0.0000000000,0.0000000000,0.0004000000,0.0000000000,0.0000000000,0.0000000000,0.0250000000,0.0000000000,0.0003000000,1.0284679941,0.0090000000,0.0010000000,0.8556853711,0.3496791180,0.4136546185,0.0000000000,0.0040983607,0.2879710383,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0916666667,0.0007500000,0.0000000000,0.0012290193,0.6582195162
Cottage Cheese,0.0727272727,0.0181818182,0.0727272727,0.0000000000,0.0000000000,0.0007272727,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0330000000,0.0000000000,0.0000000000,1.2909090909,0.0150000000,0.0000000000,1.2000000000,6.0000000000,0.0000000000,0.0000000000,0.0040000000,0.2863436123,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,0.0000000000,0.0040773333,0.8181818182
Tofu,0.0810000000,0.0420000000,0.0070000000,0.0030000000,0.0001800000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,35.0000000000,15.0000000000,7.0000000000,1.2100000000,0.0700000000,0.0000000000,0.1500000000,0.0140000000,0.0000000000,0.0320000000,3.9800000000,0.5100000000,0.0000000000,0.0000000000,0.0000000000,0.0200000000,0.0025000000,0.7623000000
Mayonnaise,0.0096000000,0.7857142857,0.0060000000,0.0000000000,0.0001600000,0.0330000000,1.6300000000,0.0000000000,0.0001000000,0.0002000000,0.0000000000,0.0017000000,0.0001000000,0.0000000000,0.0000500000,0.0000012000,0.0800000000,0.2100000000,0.0100000000,0.0200000000,3.5714285714,0.0000000000,0.0021000000,0.0015000000,0.0000000000,0.0230000000,0.0200000000,0.0001000000,0.0000000000,0.0000000000,0.0071428571,0.4153846154,0.0040238095,7.1428571429
Mustard,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0800000000,0.4800000000,0.0000000000,12.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3350000000,0.0000000000,0.0042000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019115044,0.0000000000
Cinnamon,0.0000000000,0.0000000000,0.8100000000,0.5300000000,0.0001500000,0.0020000000,0.0003100000,0.0000400000,0.0000000000,0.0000000000,0.0000100000,0.0000040000,0.0000020000,0.0000000000,0.0000600000,0.0000000000,10.0200000000,0.6400000000,0.6000000000,4.3100000000,0.1000000000,0.0000000000,0.0770000000,0.0200000000,0.0000000000,0.0300000000,0.3000000000,0.1740000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0478571429,2.4725000000
Salt,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,393.3333333333,0.0000000000,0.0000000000,0.0000000000,44.6666666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010040706,0.0000000000
Paprika,0.1500000000,0.1300000000,0.5600000000,0.2800000000,14.7700000000,0.0029000000,0.0008600000,0.0001500000,0.0000100000,0.0000400000,0.0004000000,0.0002000000,0.0001000000,0.0000000000,0.0000300000,0.0000000000,0.2300000000,2.4133333333,1.7800000000,22.8000000000,0.7100000000,0.0000000000,0.0700000000,0.0030000000,0.0000000000,0.0004000000,0.0100000000,0.0159000000,0.0000000000,0.0000000000,0.0000000000,0.1700000000,0.0135960000,2.8226000000
Sunflower Seeds,0.2058823529,0.5000000000,0.2058823529,0.0882352941,0.0000000000,0.3500000000,0.0000000000,0.0003900000,0.0004100000,0.0001000000,0.0023000000,0.0003200000,0.0003800000,0.1300000000,0.0002260000,0.0000000000,0.0218000000,0.0065600000,3.6684303351,0.0064300000,0.0000890000,0.0000000000,0.0005300000,0.0500000000,0.0000000000,0.7750000000,0.0176000000,0.0001960000,0.3571428571,1.4285714286,0.0007400000,0.2285714286,0.0043560000,5.8823529412
Limes,0.0100000000,0.0000000000,0.1100000000,0.0300000000,0.0000000000,0.0015000000,0.0010000000,0.2910000000,0.0020000000,0.0010000000,0.0013000000,0.0015000000,0.0040000000,0.0000000000,0.0800000000,0.0000000000,0.3300000000,0.1800000000,0.0600000000,1.0200000000,0.0200000000,0.0180000000,0.0060000000,0.0016417910,0.0180000000,0.0000000000,0.0008000000,0.0009000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025000000,0.3000000000
Canola Oil,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1700000000,0.7100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0900000000,0.1900000000,0.0025148810,8.5714285714
Tuna,0.1769911504,0.0044247788,0.0000000000,0.0000000000,0.0000000000,0.0086986301,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1132743363,0.0000000000,0.1600000000,0.0000000000,0.0000000000,0.0294117647,0.0000000000,0.0000000000,0.3300000000,2.3529411765,3.1858407080,0.0000000000,0.0164705882,0.0100000000,0.1052631579,0.6814159292,0.0000000000,0.0000000000,0.0000000000,0.0100000000,0.0020000000,0.0000000000,0.0077876106,0.7964601770
